Year,Month,Group,longitude,latitude,Rainfall,Lag1Rainfall,Lag2Rainfall,RH,MaxT,MinT,AvgT,Lag1AvgT,Lag2AvgT,DC,DD,DC1,GF,GFlog,Gfexp,,
2012,7,2000-2022,23.78046784,90.37814601,219.2,190.1,138.9,79.98387097,32.6,26.7,29.65,30.05,30.2,108,0,109,1.275229358,0.105588302,1.111364236,,
2012,8,2000-2022,23.78046784,90.37814601,269,219.2,190.1,79.35483871,32.6,26.6,29.6,29.65,30.05,138,0,139,1.892086331,0.276940948,1.319088474,,
2012,9,2000-2022,23.78046784,90.37814601,80.5,269,219.2,79.63333333,32.9,26.8,29.85,29.6,29.65,262,0,263,0.346007605,-0.460914356,0.630706691,,
2012,10,2000-2022,23.78046784,90.37814601,36.8,80.5,269,72.17741935,32.3,24.3,28.3,29.85,29.6,90,0,91,0.637362637,-0.195613399,0.822330087,,
2012,11,2000-2022,23.78046784,90.37814601,67.8,36.8,80.5,68.47916667,28.7,19.1,23.9,28.3,29.85,57,1,58,0.017241379,-1.763427994,0.171456105,,
2012,12,2000-2022,23.78046784,90.37814601,5.4,67.8,36.8,77.53225806,24,14.5,19.25,23.9,28.3,0,0,1,1,0,1,,
2013,1,2000-2022,23.78046784,90.37814601,0.2,5.4,67.8,65.73790323,24.2,12.3,18.25,19.25,23.9,0,0,1,1,0,1,,
2013,2,2000-2022,23.78046784,90.37814601,8.2,0.2,5.4,56.29910714,28.9,17.5,23.2,18.25,19.25,0,0,1,1,0,1,,
2013,3,2000-2022,23.78046784,90.37814601,26.6,8.2,0.2,55.91935484,33.4,22.1,27.75,23.2,18.25,0,0,1,1,0,1,,
2013,4,2000-2022,23.78046784,90.37814601,33.1,26.6,8.2,64.29583333,34.2,24.4,29.3,27.75,23.2,0,0,1,5,0.698970004,2.011679618,,
2013,5,2000-2022,23.78046784,90.37814601,390.3,33.1,26.6,79.50806452,31.7,24.8,28.25,29.3,27.75,4,0,5,9,0.954242509,2.596702859,,
2013,6,2000-2022,23.78046784,90.37814601,319.4,390.3,33.1,77.32916667,33.7,27.2,30.45,28.25,29.3,44,0,45,4.911111111,0.69117976,1.996069027,,
2013,7,2000-2022,23.78046784,90.37814601,296.4,319.4,390.3,77.95967742,32.7,27,29.85,30.45,28.25,220,0,221,1.601809955,0.204610988,1.227047636,,
2013,8,2000-2022,23.78046784,90.37814601,222.2,296.4,319.4,81.26612903,32,26.2,29.1,29.85,30.45,353,1,354,1.401129944,0.146478414,1.157749939,,
2013,9,2000-2022,23.78046784,90.37814601,168.4,222.2,296.4,81.8625,32.6,26.3,29.45,29.1,29.85,495,1,496,0.733870968,-0.134380293,0.874257527,,
2013,10,2000-2022,23.78046784,90.37814601,123.7,168.4,222.2,79.41129032,31.5,24.4,27.95,29.45,29.1,363,0,364,0.585164835,-0.23272178,0.792373997,,
2013,11,2000-2022,23.78046784,90.37814601,0,123.7,168.4,67.27083333,30.2,18.5,24.35,27.95,29.45,212,0,213,0.276995305,-0.557527592,0.572623073,,
